video_id,title,channel,published_at,published_year,published_month,keyword,category,dimension
f8FAoPFBjx4,Aturan MA Koruptor Dipenjara Seumur Hidup,KOMPASTV,2020-08-03T14:31:45Z,2020,8,diskon hukuman MA,institusional,integritas_korupsi
L2aFqKjHXCA,Aturan Baru! MA Atur Hukuman Seumur Hidup Buat Koruptor | Economy tvOne,100kpj com,2020-08-04T09:42:13Z,2020,8,diskon hukuman MA,institusional,integritas_korupsi
TzR43WeZ_Ak,MA Potong Masa Hukuman Anas Urbaningrum - SIS 02/10,Seputar iNews RCTI,2020-10-02T07:37:15Z,2020,10,diskon hukuman MA,institusional,integritas_korupsi
pol4KGRusBk,Mahkamah Agung Terima 20.532 Perkara Sepanjang 2020,BeritaSatu,2020-12-31T04:32:11Z,2020,12,diskon hukuman MA,institusional,integritas_korupsi
o6AXLspAUKg,Tiga Nama Hakim Agung Disebut dalam Sidang Kasus Suap dan Gratifikasi Nurhadi,Myra Lamb,2020-12-16T17:52:37Z,2020,12,gratifikasi hakim agung,institusional,integritas_korupsi
MCPduZV7238,Mantan Hakim Agung: PERMA No. 1 2020 Akan Sangat Membantu Hakim | tvOne,SELEBRITA,2020-08-03T13:24:23Z,2020,8,gratifikasi hakim agung,institusional,integritas_korupsi
RNShYGZeDZY,"Kasus Dugaan Suap dan Gratifikasi Mantan Skretaris MA Digelar, 3 Saksi Dihadirkan - iNews Pagi 05/11",Official iNews,2020-11-05T03:32:58Z,2020,11,gratifikasi hakim agung,institusional,integritas_korupsi
_0_hqqKNK_8,INI PENAMPAKAN 3 MOBIL MEWAH NURHADI ( Mantan Sekretaris MA ) YANG DISITA PENYIDIK KPK .,GUDANG GAMBAR KPK # Mario Pasaribu #,2020-06-23T09:13:49Z,2020,6,makelar kasus MA,institusional,integritas_korupsi
DrZAsMgKNzc,"PUTERI NURHADI MANTAN SKRETARIS MA DICECAR KPK SOAL TAS MEWAH, SEPATU HIINGGA 3 MOBIL MEWAH",GUDANG GAMBAR KPK # Mario Pasaribu #,2020-06-30T22:02:13Z,2020,6,makelar kasus MA,institusional,integritas_korupsi
VaDmmGA-nj0,"INI ISI MATERI PEMERIKSAAN PENYIDIK KPK, saat periksa Isteri NURHADI (Mantan Sekretaris MA )",GUDANG GAMBAR KPK # Mario Pasaribu #,2020-06-23T08:41:33Z,2020,6,makelar kasus MA,institusional,integritas_korupsi
EgxXQqOt0zo,Mahkamah Agung Kabulkan Gugatan Rachmawati Terkait Aturan Pemenang Pilpres - iNews Sore 07/07,Official iNews,2020-07-07T13:19:03Z,2020,7,putusan MA pilkada,institusional,putusan_kontroversial
5d1Ie5YWHu4,MA Sebut Penerbitan Putusan PKPU Sesuai Aturan,BeritaSatu,2020-07-08T13:30:13Z,2020,7,putusan MA pilkada,institusional,putusan_kontroversial
DLvQUgDsOc8,🔴 Sarasehan DN-PIM - Putusan MA tentang Keputusan KPU Thn 2019: Apa Implikasi Hukum &amp; Politiknya?,FRONT TV,2020-07-09T09:01:25Z,2020,7,putusan MA pilkada,institusional,putusan_kontroversial
rouXYXvWVXQ,"-26.10.20_SIDANG PUTUSAN MA, KEPROTOKOLAN, KUHAP, PAPUA",Mahkamah Konstitusi RI,2020-10-27T01:43:38Z,2020,10,putusan MA pilkada,institusional,putusan_kontroversial
uq99GPMG9CU,"Gugatan Rachmawati Dikabulkan MA, Fadli Zon Harusnya KPU Jangan Buru buru Berikan Tanggapan",Tribunnews,2020-07-09T15:53:44Z,2020,7,putusan MA pilkada,institusional,putusan_kontroversial
b6NyaTnHzxg,BENARKAH PUTUSAN MA TAK RELEVAN DGN PILPRES2019!!!!,akal sehat bangsa,2020-07-11T18:32:50Z,2020,7,putusan MA pilkada,institusional,putusan_kontroversial
wuxzCVcZNV4,"Soal BPJS, Pemerintah Akan Pelajari Putusan MA",BeritaSatu,2020-03-10T15:11:20Z,2020,3,putusan MA pilkada,institusional,putusan_kontroversial
MTTX6cCq4YY,"PUTUSAN MA PENUH KONTROVERSI? ENGGAK JUGA KOK, PROGRESIF IYA",Muchsin Official,2020-07-11T16:29:20Z,2020,7,putusan MA pilkada,institusional,putusan_kontroversial
gQO4ATAZrDs,Presiden Jokowi : Capaian Luar Biasa Kinerja MA untuk Institusi Peradilan,Vibizmedia,2020-02-26T12:39:12Z,2020,2,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
6zUes8litKU,SEMINAR BUDAYA KERJA DAN IMPLEMENTASI TATANILAI MAHKAMAH AGUNG REPUBLIK INDONESIA,Mahkamah Agung Republik Indonesia,2020-08-28T08:09:33Z,2020,8,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
J8xuy2OgPgI,REFLEKSI AKHIR TAHUN MAHKAMAH AGUNG TAHUN 2020,Mahkamah Agung Republik Indonesia,2020-12-30T05:25:15Z,2020,12,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
ous6bHT9qgQ,Himbauan Ketua Mahkamah Agung RI Agustus 2020,Humas Mahkamah Agung RI,2020-08-04T01:50:36Z,2020,8,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
q7ffT-lmn9c,Purnabhakti KPTA Surabaya dan Pembinaan Dirjen Badan Peradilan Agama Mahkamah Agung RI 29-04-2020,DOKPTA SUMSEL,2020-04-29T09:27:31Z,2020,4,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
9Hxe2p4Ki7Y,Pesan dan Apresiasi Ketua Mahkamah Agung Untuk 4 Lingkungan Peradilan di Seluruh Indonesia,Mahkamah Agung Republik Indonesia,2020-12-26T06:05:55Z,2020,12,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
6WjBL1YLV3Y,"TANAH TERANCAM EKSEKUSI, TIM ADVOKAT PEDULI MBAH TUN PASANG BALIHO PUTUSAN MA",Jateng News TV ,2020-07-18T05:48:11Z,2020,7,kepercayaan publik Mahkamah Agung,institusional,kepercayaan_publik
1s5MR_WcjPc,cover lagu aku pasti bisa( citra scholastika)&quot;Mahkamah agung&quot; by:Kinanti sri sejati,Kinanti Sri sejati,2020-10-26T13:19:55Z,2020,10,citra Mahkamah Agung,institusional,kepercayaan_publik
LCVZcwF1nNw,KETERANGAN MAHKAMAH AGUNG TERKAIT MERK GEPREK BENSU,KABAR HARIAN ID,2020-06-12T07:03:30Z,2020,6,citra Mahkamah Agung,institusional,kepercayaan_publik
ilU7qUSQqz0,Memahami Proses Keberatan Hak Uji Materil (HUM) di Mahkamah Agung,Konstitusionalis Tv,2020-01-24T10:21:50Z,2020,1,reputasi Mahkamah Agung,institusional,kepercayaan_publik
hiZIAFLb8OY,8 Nilai Utama Mahkamah Agung RI,Pengadilan Negeri Ponorogo,2020-09-02T08:02:27Z,2020,9,reputasi Mahkamah Agung,institusional,kepercayaan_publik
aIfUMAgvdpk,Ini Alasan Mahkamah Agung Tolak Pemakzulan Bupati Jember Faida,Kompascom Reporter on Location,2020-12-09T07:05:44Z,2020,12,gak percaya Mahkamah Agung,institusional,kepercayaan_publik
mqmZQnKWBqc,"Diputus Bebas Murni Oleh Mahkamah Agung,  Selviana Wanma Gelar Jumpa Pers",Melanesian ID,2020-07-03T03:54:38Z,2020,7,gak percaya Mahkamah Agung,institusional,kepercayaan_publik
rdm2W_g9UNY,Permintaan Maaf Pinangki ke Eks Ketua MA-Jaksa Agung!,detikcom,2020-09-30T12:45:07Z,2020,9,gak percaya Mahkamah Agung,institusional,kepercayaan_publik
qgqj8dTSwkc,Hampir pultakk ma spiker nai!! Percuma Do Cip;Jonar Situmorang COVER,NADOS TRIO,2020-11-06T03:36:19Z,2020,11,percuma lapor MA,institusional,kepercayaan_publik
NmfXoyoMV7w,Ustadz Abdul Somad LC MA - Tak ada yang percuma | ceramah nasehat singkat,Trilogi Art,2020-12-28T15:54:47Z,2020,12,percuma lapor MA,institusional,kepercayaan_publik
XsnWmzCdxwk,"Ex Siduana Voice Percuma, mallasakk ma...",Putra Tapanuli,2020-05-16T06:46:54Z,2020,5,percuma lapor MA,institusional,kepercayaan_publik
ckhqIsPEBqM,Percuma Na Ma I,Nainggolan Sister - Topic,2020-03-26T10:15:50Z,2020,3,percuma lapor MA,institusional,kepercayaan_publik
3il2cKo1gug,Duo Naimarata - SAI HORAS MA HO TU SI BORU LOMOMI || Lagu Batak (Official Music Video),Pelita Danau Toba,2020-11-02T01:00:00Z,2020,11,percuma lapor MA,institusional,kepercayaan_publik
70bXUCEX5F8,Nainggolan Sister - Percuma Na Ma I - (Official Musik Video),Moments Record,2020-04-15T12:00:02Z,2020,4,percuma lapor MA,institusional,kepercayaan_publik
BfXi6e17JGk,"Di ribakkon ma &quot;Percuma&quot; i,,,,cipt:Jonar Situmorang#Cover#Emergency Trio",Frederikson simbolon,2020-06-20T16:19:59Z,2020,6,percuma lapor MA,institusional,kepercayaan_publik
lcHgRtCvELg,Percuma do......            malliting MA,pedro sihotang19,2020-05-16T02:02:54Z,2020,5,percuma lapor MA,institusional,kepercayaan_publik
vTDw9b90puc,#Cover lagu Batak percuma do   #malliting ma,Pemri nainggolan,2020-10-31T00:08:06Z,2020,10,percuma lapor MA,institusional,kepercayaan_publik
9TWr1tTo6f8,Dirikbakon Hian Ma...DONGAN&#39;S TRIO Cover || PERCUMA DO || Live Sipas Cafe,MunteCarlo Official,2020-03-19T14:21:57Z,2020,3,percuma lapor MA,institusional,kepercayaan_publik
wnwJZ83h2yc,Percuma Do Marsiribakan Ma (feat. The Boys Trio),Jonar Situmorang - Topic,2020-10-08T10:03:12Z,2020,10,percuma lapor MA,institusional,kepercayaan_publik
eKiGFOPxOvQ,Transformasi Keterbukaan Informasi Publik Mahkamah Agung RI dan Badan Peradilan dibawahnya,PA Sanggau (Official),2020-06-02T03:11:32Z,2020,6,transparansi Mahkamah Agung,institusional,kepercayaan_publik
vtlGvknUWJo,YLBHI: Aturan Baru MA Jangan Sampai Menghambat Transparansi Persidangan #LayarDemokrasi,CNN Indonesia,2020-02-28T08:39:49Z,2020,2,transparansi Mahkamah Agung,institusional,kepercayaan_publik
nAxHehGNgTw,Wujudkan Peradilan yang Transparan | Jokowi Apresiasi Kinerja MA,DAAI Magazine,2020-02-27T10:09:22Z,2020,2,transparansi Mahkamah Agung,institusional,kepercayaan_publik
YH_8OjelBEc,3 Lembaga Peradilan Dibawah Mahkamah Agung,Agustina Wulandari,2020-11-22T09:07:47Z,2020,11,transparansi Mahkamah Agung,institusional,kepercayaan_publik
pQnDLhV6joc,Presiden Jokowi Apresiasi Capaian Mahkamah Agung pada 2019,BeritaSatu,2020-02-26T12:42:55Z,2020,2,transparansi Mahkamah Agung,institusional,kepercayaan_publik
YAkZk2nQm5A,NASIB KEMENANGAN PILPRES 2019 JOKOWI-MA&#39;RUF ATAS PUTUSAN MA,Bung FD Bicara,2020-07-12T01:15:16Z,2020,7,kecewa putusan MA,institusional,kepercayaan_publik
olf0ZAv8UQo,"Putusan Hakim di PTUN, PTTUN dan Putusan Mahkamah Agung",Rumah Kuorum,2020-05-22T16:28:08Z,2020,5,kecewa putusan MA,institusional,kepercayaan_publik
n2lwPO0K9QQ,Mulai 1 Mei 2020 BPJS kesehatan turun Harga sesuai Putusan MA,Irfahd cekko,2020-04-30T15:14:38Z,2020,4,kecewa putusan MA,institusional,kepercayaan_publik
EHSlmDIfxcQ,Putusan PK MA terhadap perkara Rohadi(2),Yanto Irianto,2020-06-25T05:22:05Z,2020,6,kecewa putusan MA,institusional,kepercayaan_publik
-pvhTPRKW-0,MA Batalkan Kenaikan Iuran BPJS Kesehatan Part3,Jaktv Official Channel,2020-03-10T05:54:33Z,2020,3,kecewa putusan MA,institusional,kepercayaan_publik
jM9h47C8bhE,Inovasi Sistem Pelayanan Perizinan Berbasis Tracking System (SIPP) DPMPTSP Kab. Boyolali,DPMPTSP Kab. Boyolali,2020-09-18T06:04:48Z,2020,9,ribet aplikasi SIPP,tutorial_website,layanan_digital_ux
Ls2q_IhdpyA,TUTORIAL PEMBUATAN AKUN SIPP (SURAT IJIN PRAKTIK PERAWAT),diklat ppnikotasemarang,2020-07-04T02:28:14Z,2020,7,ribet aplikasi SIPP,tutorial_website,layanan_digital_ux
OURig5_lryw,FORMULIR REKOMENDASI PERAWAT SIPP(surat Ijin Praktek Perawat) secara online,EKA RIADI,2020-07-04T03:18:37Z,2020,7,ribet aplikasi SIPP,tutorial_website,layanan_digital_ux
RRNh9szcdNc,"CARA MENGAJUKAN PENERBITAN SURAT IZIN PRAKTIK PERAWAT (SIPP) DI PUSKESMAS, RUMAH SAKIT ATAU KLINIK",Mukmin Nasri OFFICIAL,2020-07-02T02:08:16Z,2020,7,ribet aplikasi SIPP,tutorial_website,layanan_digital_ux
uxO-riDMo7U,Nurhadi dan Menantu Jalani Sidang Vonis Atas Kasus Suap-Gratifikasi,kumparan,2021-03-10T04:07:46Z,2021,3,suap Mahkamah Agung,institusional,integritas_korupsi
D7bzbL_MkAw,Bedah Editorial MI: Vonis Nurhadi Mengecewakan,METRO TV ,2021-03-12T03:05:14Z,2021,3,suap Mahkamah Agung,institusional,integritas_korupsi
on3_O7knpI8,"Kurang Memenuhi Keadilan, KPK Ajukan Banding Vonis Nurhadi - iNews Pagi 13/03",Official iNews,2021-03-13T02:39:58Z,2021,3,suap Mahkamah Agung,institusional,integritas_korupsi
IcOqfNUBlho,Eks Raja OTT KPK Harun Al Rasyid Lolos Seleksi Calon Hakim Agung,kumparan,2021-12-30T06:46:15Z,2021,12,OTT hakim agung,institusional,integritas_korupsi
wecjzV1oxSI,Komisi III DPR Gelar Uji Kelayakan 11 Calon Hakim Agung,IDX CHANNEL,2021-09-20T12:16:14Z,2021,9,OTT hakim agung,institusional,integritas_korupsi
sCBrMd5Zb4s,MARI Berbincang Eps.5 | Mengenal Lebih Dekat Hakim Agung Kamar Pidana,Humas Mahkamah Agung RI,2021-12-21T02:01:59Z,2021,12,OTT hakim agung,institusional,integritas_korupsi
JCmvOgUsR-k,Selamat Hari Raya Idul Fitri 1 Syawal 1442H | Jajaran Eselon I Mahkamah Agung RI,Humas Mahkamah Agung RI,2021-05-13T04:33:56Z,2021,5,Zarof Ricar,institusional,integritas_korupsi
iuFbl2uOyz4,"Testimony Sekretaris Mahkama Agung RI - Dr. H. Hasbi Hasan, MH. (NARASUMBER)",Pustrajak Hukum dan Peradilan Mahkamah Agung,2021-06-01T13:22:51Z,2021,6,Hasbi Hasan MA,institusional,integritas_korupsi
qci3WtOU4m4,"Pesan Sekretaris Mahkamah Agung RI Bpk Dr. H. Hasbi Hasan, M.H.",Humas Mahkamah Agung RI,2021-02-16T11:41:42Z,2021,2,Hasbi Hasan MA,institusional,integritas_korupsi
